restaurant_id,name,grid,address,rating,user_ratings_total,phone_number,reviews_count,file_path
ChIJcelSUXlZwokRkD8zyKGV6k4,Fulgurances,BK1,"132 Franklin St, Brooklyn, NY 11222, USA",4.5,200,(347) 223-4106,75,E:\gitrepo\Crawler\reviews\BK1\BK1_Fulgurances_reviews.json
ChIJf9j4STxZwokRc9PDhX2eoHw,Glasserie,BK1,"95 Commercial St, Brooklyn, NY 11222, USA",4.5,921,(718) 389-0640,76,E:\gitrepo\Crawler\reviews\BK1\BK1_Glasserie_reviews.json
ChIJYVSQlUVZwokR3YMbMiZwhzE,Greenpoint Fish & Lobster Co.,BK1,"114 Nassau Ave, Brooklyn, NY 11222, USA",4.5,944,(718) 313-1913,76,E:\gitrepo\Crawler\reviews\BK1\BK1_Greenpoint Fish & Lobster Co._reviews.json
ChIJ5x9XaIpZwokRl3nSTwXki6A,Hide & Seek,BK1,"593 Manhattan Ave, Brooklyn, NY 11222, USA",4.6,182,(917) 909-0670,72,E:\gitrepo\Crawler\reviews\BK1\BK1_Hide & Seek_reviews.json
ChIJzRBPAz5ZwokRd0AUXGm-2f8,Hole In The Wall,BK1,"292 Bedford Ave, Brooklyn, NY 11249, USA",4.8,3180,(929) 295-8361,71,E:\gitrepo\Crawler\reviews\BK1\BK1_Hole In The Wall_reviews.json
ChIJlWmsggZZwokR2yHyFpFXD1o,HOUSE Brooklyn,BK1,"50 Norman Ave, Brooklyn, NY 11222, USA",4.8,96,(929) 675-7887,61,E:\gitrepo\Crawler\reviews\BK1\BK1_HOUSE Brooklyn_reviews.json
ChIJHZyajD1ZwokREWLihHYSryQ,ILIS,BK1,"150 Green St, Brooklyn, NY 11222, USA",4.4,249,(917) 274-7154,80,E:\gitrepo\Crawler\reviews\BK1\BK1_ILIS_reviews.json
ChIJ9d0I6kBZwokRHVwTlrpWxss,Karczma,BK1,"136 Greenpoint Ave, Brooklyn, NY 11222, USA",4.6,2486,(718) 349-1744,83,E:\gitrepo\Crawler\reviews\BK1\BK1_Karczma_reviews.json
ChIJL4nntipZwokRZtYd_-0xrUY,Knori Hand Roll Bar,BK1,"121 Greenpoint Ave, Brooklyn, NY 11222, USA",4.9,365,(917) 909-1816,89,E:\gitrepo\Crawler\reviews\BK1\BK1_Knori Hand Roll Bar_reviews.json
ChIJ46r72EpZwokR42h_EmRsntY,Kub Kao,BK1,"988 Manhattan Ave, Brooklyn, NY 11222, USA",4.9,40,(917) 909-0347,38,E:\gitrepo\Crawler\reviews\BK1\BK1_Kub Kao_reviews.json
ChIJJadBRB1ZwokRjuBGgN8Zih8,La Contenta Greenpoint,BK1,"1079 Manhattan Ave, Brooklyn, NY 11222, USA",5.0,31,(347) 916-0016,26,E:\gitrepo\Crawler\reviews\BK1\BK1_La Contenta Greenpoint_reviews.json
ChIJuQHR0fFZwokRsy0YbU9yXS8,La Sandwicherie Greenpoint,BK1,"156 Driggs Ave, Brooklyn, NY 11222, USA",4.9,445,(347) 987-4870,72,E:\gitrepo\Crawler\reviews\BK1\BK1_La Sandwicherie Greenpoint_reviews.json
ChIJLyS5dYRZwokRlkA0g9eijjs,Laser Wolf Brooklyn,BK1,"97 Wythe Ave, Brooklyn, NY 11249, USA",4.3,997,(718) 215-7150,86,E:\gitrepo\Crawler\reviews\BK1\BK1_Laser Wolf Brooklyn_reviews.json
ChIJLSZlpEFZwokRkatFFV8Mb3E,Le Gamin,BK1,"108 Franklin St, Brooklyn, NY 11222, USA",4.4,528,(718) 770-7918,71,E:\gitrepo\Crawler\reviews\BK1\BK1_Le Gamin_reviews.json
ChIJbfyMKL9ZwokRNaAxnXt-zs0,Leroy’s,BK1,"195 Franklin St, Brooklyn, NY 11222, USA",4.5,240,(929) 298-0051,74,E:\gitrepo\Crawler\reviews\BK1\BK1_Leroy’s_reviews.json
ChIJPWi-ugVZwokRLBGafASWP6s,Lingo,BK1,"27 Greenpoint Ave, Brooklyn, NY 11222, USA",4.6,276,(347) 529-4584,74,E:\gitrepo\Crawler\reviews\BK1\BK1_Lingo_reviews.json
ChIJAVTGb3pZwokRmKrpkrTn1NY,MADRE,BK1,"214 Franklin St, Brooklyn, NY 11222, USA",4.7,527,(718) 389-8700,83,E:\gitrepo\Crawler\reviews\BK1\BK1_MADRE_reviews.json
ChIJUymwHzxZwokR7PrGIBU3gz0,Milk & Roses,BK1,"35 Box St, Brooklyn, NY 11222, USA",4.2,981,(718) 389-0160,79,E:\gitrepo\Crawler\reviews\BK1\BK1_Milk & Roses_reviews.json
ChIJlc0Qm1xZwokRREsqzm8pGg0,MáLà Project Greenpoint,BK1,"603 Manhattan Ave, Brooklyn, NY 11222, USA",4.5,250,(718) 500-3881,70,E:\gitrepo\Crawler\reviews\BK1\BK1_MáLà Project Greenpoint_reviews.json
ChIJUfItHUBZwokRQLZURlrMYnk,Naked Dog,BK1,"47 Java St, Brooklyn, NY 11222, USA",4.6,660,(929) 337-8096,76,E:\gitrepo\Crawler\reviews\BK1\BK1_Naked Dog_reviews.json
ChIJYzpV4SNZwokRfX0a28jsH5Y,NURA,BK1,"46 Norman Ave, Brooklyn, NY 11222, USA",4.5,779,(347) 672-1222,80,E:\gitrepo\Crawler\reviews\BK1\BK1_NURA_reviews.json
ChIJ__-z7kBZwokRezHqB39zBLI,Oxomoco,BK1,"128 Greenpoint Ave, Brooklyn, NY 11222, USA",4.5,2284,(646) 688-4180,89,E:\gitrepo\Crawler\reviews\BK1\BK1_Oxomoco_reviews.json
ChIJUfCp3OlZwokRvRb3hBuLIuA,Panzón,BK1,"23 Greenpoint Ave, Brooklyn, NY 11222, USA",4.4,320,(347) 786-4852,81,E:\gitrepo\Crawler\reviews\BK1\BK1_Panzón_reviews.json
ChIJuc8AM0BZwokRtpm2S66ltsE,Paulie Gee's,BK1,"60 Greenpoint Ave, Brooklyn, NY 11222, USA",4.6,1659,(347) 987-3748,80,E:\gitrepo\Crawler\reviews\BK1\BK1_Paulie Gee's_reviews.json
ChIJi0Ap8k9ZwokRJLOizIwQ-sc,PEEPS KITCHEN at Scrappleland,BK1,"1150 Manhattan Ave, Brooklyn, NY 11222, USA",4.9,329,(929) 295-0081,72,E:\gitrepo\Crawler\reviews\BK1\BK1_PEEPS KITCHEN at Scrappleland_reviews.json
ChIJfR8jHkRZwokRgllkzTBqhlM,Peter Pan Donut & Pastry Shop,BK1,"727 Manhattan Ave, Brooklyn, NY 11222, USA",4.7,2916,(718) 389-3676,91,E:\gitrepo\Crawler\reviews\BK1\BK1_Peter Pan Donut & Pastry Shop_reviews.json
ChIJl-l0rSdZwokReqiZ7S2yx0A,Pierozek,BK1,"592 Manhattan Ave, Brooklyn, NY 11222, USA",4.8,1031,(718) 576-3866,81,E:\gitrepo\Crawler\reviews\BK1\BK1_Pierozek_reviews.json
ChIJMVIviv5ZwokRZOz215uVhGo,Radio Star,BK1,"13 Greenpoint Ave, Brooklyn, NY 11222, USA",4.6,198,(347) 799-1190,69,E:\gitrepo\Crawler\reviews\BK1\BK1_Radio Star_reviews.json
ChIJwRJqUE9ZwokRPRQ4Apbnx_A,Restaurant Relax,BK1,"68A Newel St, Brooklyn, NY 11222, USA",4.9,362,(718) 389-1665,85,E:\gitrepo\Crawler\reviews\BK1\BK1_Restaurant Relax_reviews.json
ChIJaQRXYuRZwokRHjAN5MkBizY,Rule of Thirds,BK1,"171 Banker St, Brooklyn, NY 11222, USA",4.3,1516,(347) 334-6684,81,E:\gitrepo\Crawler\reviews\BK1\BK1_Rule of Thirds_reviews.json
ChIJ37V_SERZwokR6MN2ktjYBLQ,SCALINO GP,BK1,"659 Manhattan Ave, Brooklyn, NY 11222, USA",4.5,442,(718) 389-8600,78,E:\gitrepo\Crawler\reviews\BK1\BK1_SCALINO GP_reviews.json
ChIJH_-tMGlZwokRqIqHR22D-zU,Sereneco,BK1,"113 Franklin St, Brooklyn, NY 11222, USA",4.5,478,(929) 295-0152,66,E:\gitrepo\Crawler\reviews\BK1\BK1_Sereneco_reviews.json
ChIJAVpqh6NZwokRJOer8_6ArM0,STOWAWAY,BK1,"159 Greenpoint Ave, Brooklyn, NY 11222, USA",4.4,199,(917) 612-3260,68,E:\gitrepo\Crawler\reviews\BK1\BK1_STOWAWAY_reviews.json
ChIJ7foAEE1ZwokRuCUXXm3WxGs,Sungold Restaurant Brooklyn NY (Arlo Williamsburg),BK1,"96 Wythe Ave, Brooklyn, NY 11249, USA",4.8,890,(718) 408-7251,87,E:\gitrepo\Crawler\reviews\BK1\BK1_Sungold Restaurant Brooklyn NY (Arlo Williamsburg)_reviews.json
ChIJDw8CYIpZwokRm_KQDaRtTK0,Taqueria Ramirez,BK1,"94 Franklin St, Brooklyn, NY 11222, USA",4.7,1741,,85,E:\gitrepo\Crawler\reviews\BK1\BK1_Taqueria Ramirez_reviews.json
ChIJ6xMKycJZwokRWUUQVrahitg,The Blue Light Speak Cheesy,BK1,"158 Green St, Brooklyn, NY 11222, USA",4.9,298,(929) 337-6025,72,E:\gitrepo\Crawler\reviews\BK1\BK1_The Blue Light Speak Cheesy_reviews.json
ChIJHRyf_LxZwokRyRAn0OrJP0w,The Noble Wine Bar + Restaurant,BK1,"148 Noble St, Brooklyn, NY 11222, USA",4.8,118,,66,E:\gitrepo\Crawler\reviews\BK1\BK1_The Noble Wine Bar + Restaurant_reviews.json
ChIJ3Vn-YGNZwokRKs9M6LiXVA8,The Snail,BK1,"544 Manhattan Ave, Brooklyn, NY 11222, USA",4.5,197,(646) 688-0022,78,E:\gitrepo\Crawler\reviews\BK1\BK1_The Snail_reviews.json
ChIJlaFjTURZwokRvsN6V805OEk,TØRST,BK1,"615 Manhattan Ave, Brooklyn, NY 11222, USA",4.7,1565,(718) 389-6034,79,E:\gitrepo\Crawler\reviews\BK1\BK1_TØRST_reviews.json
ChIJl6gWMxpZwokR2jvrV4VUlVQ,U Omakase,BK1,"173 Greenpoint Ave, Brooklyn, NY 11222, USA",4.9,178,,74,E:\gitrepo\Crawler\reviews\BK1\BK1_U Omakase_reviews.json
ChIJu6YbaZZZwokRtXSsXVLTgOg,Verge,BK1,"159 Franklin St, Brooklyn, NY 11222, USA",4.8,310,(347) 721-3300,83,E:\gitrepo\Crawler\reviews\BK1\BK1_Verge_reviews.json
ChIJ-x1MTMhZwokRrlXD4wA2VMI,Wanpaku,BK1,"621 Manhattan Ave, Brooklyn, NY 11222, USA",4.5,401,(718) 383-3139,79,E:\gitrepo\Crawler\reviews\BK1\BK1_Wanpaku_reviews.json
ChIJmcr2IF9ZwokRr-u_-UTxju4,Wenwen,BK1,"1025 Manhattan Ave, Brooklyn, NY 11222, USA",4.5,610,(646) 901-5644,75,E:\gitrepo\Crawler\reviews\BK1\BK1_Wenwen_reviews.json
ChIJj_Vs0TFFwokR7sSASt8lkpw,Amuni,BK10,"7217 3rd Ave, Brooklyn, NY 11209, USA",4.9,135,(718) 833-7833,65,E:\gitrepo\Crawler\reviews\BK10\BK10_Amuni_reviews.json
ChIJVaKv92ZFwokRcHZGIuOZois,Annabelle's Pastaria,BK10,"717 86th St, Brooklyn, NY 11228, USA",4.5,298,(718) 836-9444,67,E:\gitrepo\Crawler\reviews\BK10\BK10_Annabelle's Pastaria_reviews.json
ChIJBSKRV89PwokRcofsyKk26CM,Ayat Bay Ridge,BK10,"8504 3rd Ave, Brooklyn, NY 11209, USA",4.6,2002,(718) 831-2585,80,E:\gitrepo\Crawler\reviews\BK10\BK10_Ayat Bay Ridge_reviews.json
ChIJZ3IAwKdPwokRvVp59xU15kA,Bar Chuzo,BK10,"9324 3rd Ave, Brooklyn, NY 11209, USA",4.8,141,(929) 471-5499,69,E:\gitrepo\Crawler\reviews\BK10\BK10_Bar Chuzo_reviews.json
ChIJS_wigl5FwokRDeZ2VX9-KEg,Bay Ridge Diner,BK10,"8017 5th Ave, Brooklyn, NY 11209, USA",4.2,567,(718) 921-0266,75,E:\gitrepo\Crawler\reviews\BK10\BK10_Bay Ridge Diner_reviews.json
ChIJTzhX1zJFwokRTEIF_WG1_HM,Bay Ridge Fish Market,BK10,"7608 3rd Ave, Brooklyn, NY 11209, USA",4.7,245,(347) 560-6019,83,E:\gitrepo\Crawler\reviews\BK10\BK10_Bay Ridge Fish Market_reviews.json
ChIJe4mGUPVPwokR9OqFnqrWrxY,Boca del cielo BRUNCH ALL DAY,BK10,"8511 3rd Ave, Brooklyn, NY 11209, USA",4.3,693,(347) 560-6899,77,E:\gitrepo\Crawler\reviews\BK10\BK10_Boca del cielo BRUNCH ALL DAY_reviews.json
ChIJ52cyMsFawokR5wmmg9YUenk,Brooklyn Roots Italian,BK10,"8620 3rd Ave, Brooklyn, NY 11209, USA",4.6,604,(718) 333-5122,74,E:\gitrepo\Crawler\reviews\BK10\BK10_Brooklyn Roots Italian_reviews.json
ChIJ74yx92ZFwokRf58QGNeJklA,BurgerFi,BK10,"719 86th St, Brooklyn, NY 11228, USA",4.4,1539,(718) 836-0836,71,E:\gitrepo\Crawler\reviews\BK10\BK10_BurgerFi_reviews.json
ChIJV5TfyihFwokRcDihkO3VeWo,Cavatappi NYC,BK10,"8024 13th Ave, Brooklyn, NY 11228, USA",4.7,274,(347) 497-5212,73,E:\gitrepo\Crawler\reviews\BK10\BK10_Cavatappi NYC_reviews.json
ChIJpSFqk4pPwokREokUaeLkQj8,Cebu,BK10,"8801 3rd Ave, Brooklyn, NY 11209, USA",4.5,1430,(718) 492-5095,80,E:\gitrepo\Crawler\reviews\BK10\BK10_Cebu_reviews.json
ChIJN5VRiTdFwokRjmODdjRqLvE,Chick N’ Baos,BK10,"7314 13th Ave, Brooklyn, NY 11228, USA",4.9,213,(917) 933-8813,72,E:\gitrepo\Crawler\reviews\BK10\BK10_Chick N’ Baos_reviews.json
ChIJnb9yDJ5FwokRxvta_ABUFug,Chong Qing Wharf Hot Pot 山城码头火锅,BK10,"6324 Fort Hamilton Pkwy, Brooklyn, NY 11219, USA",4.8,3582,(718) 489-0333,92,E:\gitrepo\Crawler\reviews\BK10\BK10_Chong Qing Wharf Hot Pot 山城码头火锅_reviews.json
ChIJZVJwHU9FwokRBuD4swvPWjY,East Harbor Seafood Palace,BK10,"714 65th St, Brooklyn, NY 11220, USA",4.3,2090,(718) 765-0098,81,E:\gitrepo\Crawler\reviews\BK10\BK10_East Harbor Seafood Palace_reviews.json
ChIJzYm5V_ZFwokRGCGrE2rb8Sc,Fire Kabob,BK10,"535 86th St, Brooklyn, NY 11209, USA",4.8,269,(718) 333-5361,70,E:\gitrepo\Crawler\reviews\BK10\BK10_Fire Kabob_reviews.json
ChIJm5ZG-FFFwokR3C5k_xOudtc,Fonda Garibaldi,BK10,"6732 13th Ave, Brooklyn, NY 11219, USA",4.7,224,(347) 497-5877,72,E:\gitrepo\Crawler\reviews\BK10\BK10_Fonda Garibaldi_reviews.json
ChIJa7IV_wxFwokRbHCdp1ZAb5o,Frankie's of Bay Ridge,BK10,"279 71st St, Brooklyn, NY 11209, USA",4.7,110,(718) 238-7100,66,E:\gitrepo\Crawler\reviews\BK10\BK10_Frankie's of Bay Ridge_reviews.json
ChIJh-vySVpFwokRlqjYXgXa2rg,Gino's,BK10,"7414 5th Ave, Brooklyn, NY 11209, USA",4.6,2307,(718) 748-1698,84,E:\gitrepo\Crawler\reviews\BK10\BK10_Gino's_reviews.json
ChIJhReR7FhFwokR8bS-WjMXqk0,Greenhouse Cafe,BK10,"7717 3rd Ave, Brooklyn, NY 11209, USA",4.5,744,(718) 833-8200,68,E:\gitrepo\Crawler\reviews\BK10\BK10_Greenhouse Cafe_reviews.json
ChIJf8iznV5FwokRN0yuv7STdbw,Istanbul Bay,BK10,"8002 5th Ave, Brooklyn, NY 11209, USA",4.3,1184,(929) 292-2353,77,E:\gitrepo\Crawler\reviews\BK10\BK10_Istanbul Bay_reviews.json
ChIJmdcmdT9FwokRebnUBIgTnn8,Jimmy's Place,BK10,"7118 13th Ave, Brooklyn, NY 11228, USA",4.3,414,(718) 748-5934,70,E:\gitrepo\Crawler\reviews\BK10\BK10_Jimmy's Place_reviews.json
ChIJFXKydz9FwokRnHG_4a9z8Gc,"Krispy Pizza- Brooklyn, NY",BK10,"7112 13th Ave, Brooklyn, NY 11228, USA",4.5,2215,(718) 745-9618,92,"E:\gitrepo\Crawler\reviews\BK10\BK10_Krispy Pizza- Brooklyn, NY_reviews.json"
ChIJHbRlaW1FwokRkXiBnAWtMdQ,La Villa,BK10,"1529 86th St, Brooklyn, NY 11228, USA",4.6,1153,(718) 256-3100,77,E:\gitrepo\Crawler\reviews\BK10\BK10_La Villa_reviews.json
ChIJ41GzBwBPwokRhRc0N9ckwk4,Laila Bayridge,BK10,"8530 3rd Ave, Brooklyn, NY 11209, USA",4.8,1194,(929) 416-5295,94,E:\gitrepo\Crawler\reviews\BK10\BK10_Laila Bayridge_reviews.json
ChIJCTWhGjhFwokR4oswpf19-dc,Mama Rao's,BK10,"6408 11th Ave, Brooklyn, NY 11219, USA",4.7,737,(718) 745-2269,73,E:\gitrepo\Crawler\reviews\BK10\BK10_Mama Rao's_reviews.json
ChIJ077xDwBFwokR6Lm73BYnSG8,Mama's Noodle House,BK10,"1782 Bay Ridge Ave, Brooklyn, NY 11204, USA",4.8,102,(646) 897-3171,63,E:\gitrepo\Crawler\reviews\BK10\BK10_Mama's Noodle House_reviews.json
ChIJ7zdfl2BFwokRPOhb_qxrZJs,Mancini's,BK10,"8504 5th Ave, Brooklyn, NY 11209, USA",4.7,692,(718) 333-5209,72,E:\gitrepo\Crawler\reviews\BK10\BK10_Mancini's_reviews.json
ChIJ9dbpMN9FwokR0u7CNqGn9KA,Maqluba Restaurant,BK10,"7025 3rd Ave, Brooklyn, NY 11209, USA",4.6,196,(929) 699-3897,75,E:\gitrepo\Crawler\reviews\BK10\BK10_Maqluba Restaurant_reviews.json
ChIJw9KfeGNFwokRIg529dl1pfQ,Marcela Cocina Mexicana,BK10,"7121 Fort Hamilton Pkwy, Brooklyn, NY 11228, USA",4.6,345,(845) 867-4209,79,E:\gitrepo\Crawler\reviews\BK10\BK10_Marcela Cocina Mexicana_reviews.json
ChIJZY5EPzlFwokRNeTcmPu579Q,Meze,BK10,"6601 13th Ave, Brooklyn, NY 11219, USA",4.6,700,(718) 234-6393,70,E:\gitrepo\Crawler\reviews\BK10\BK10_Meze_reviews.json
ChIJ8fNg1PtFwokRvU5EAHTbuSg,Moon Flower House,BK10,"7617 13th Ave, Brooklyn, NY 11228, USA",4.8,172,(929) 292-2007,60,E:\gitrepo\Crawler\reviews\BK10\BK10_Moon Flower House_reviews.json
ChIJZ7mb7_9PwokR1jU1yvRbLEE,Panino Rustico of Bay Ridge,BK10,"8901 3rd Ave, Brooklyn, NY 11209, USA",4.5,122,(718) 333-5144,66,E:\gitrepo\Crawler\reviews\BK10\BK10_Panino Rustico of Bay Ridge_reviews.json
ChIJ-_43HkBFwokRwMZ1q8gP7Pc,Parkway Restaurant,BK10,"7504 13th Ave, Brooklyn, NY 11228, USA",4.4,334,(718) 745-4371,65,E:\gitrepo\Crawler\reviews\BK10\BK10_Parkway Restaurant_reviews.json
ChIJtwW9S4lFwokRk3MS3KPIIJo,Pho Table - Dyker Heights,BK10,"6821 Fort Hamilton Pkwy, Brooklyn, NY 11219, USA",4.7,190,(718) 259-1091,79,E:\gitrepo\Crawler\reviews\BK10\BK10_Pho Table - Dyker Heights_reviews.json
ChIJq6q2g1dFwokROj-WwfhUPjI,Piccante,BK10,"7410 3rd Ave, Brooklyn, NY 11209, USA",4.6,391,(718) 833-3919,68,E:\gitrepo\Crawler\reviews\BK10\BK10_Piccante_reviews.json
ChIJedZFMGBFwokRLXwXImJDWio,Ponte Vecchio,BK10,"8810 4th Ave, Brooklyn, NY 11209, USA",4.5,592,(718) 238-6449,72,E:\gitrepo\Crawler\reviews\BK10\BK10_Ponte Vecchio_reviews.json
ChIJL8K2QYZPwokRRq-qmhec19s,Positano,BK10,"10018 4th Ave, Brooklyn, NY 11209, USA",4.5,1276,(718) 833-1313,75,E:\gitrepo\Crawler\reviews\BK10\BK10_Positano_reviews.json
ChIJEdFITlhFwokRXjI1Gakz_UE,Salty Dog,BK10,"7509 3rd Ave, Brooklyn, NY 11209, USA",4.4,1228,(718) 238-0030,71,E:\gitrepo\Crawler\reviews\BK10\BK10_Salty Dog_reviews.json
ChIJ1a9fp15FwokRAjESmgtDpOg,Skinflints,BK10,"7902 5th Ave, Brooklyn, NY 11209, USA",4.6,1615,(718) 745-1116,73,E:\gitrepo\Crawler\reviews\BK10\BK10_Skinflints_reviews.json
ChIJQ_sLuU9FwokROpt89rjSWnc,Tacos Por Favor,BK10,"8125 5th Ave, Brooklyn, NY 11209, USA",4.8,287,(347) 497-4280,76,E:\gitrepo\Crawler\reviews\BK10\BK10_Tacos Por Favor_reviews.json
